,city,latt,longt
383,Karasjok,69.47207,25.51833
384,Inari,68.79821,27.36895
385,Ivalo,68.71103000000001,27.57559
386,Sodankylä,67.4843,26.6255
387,Rovaniemi,66.50443,25.73283
388,Kemijärvi,66.7553,27.3395
389,Kemi,65.6722,24.5751
390,Oulu,65.02382,25.53527
391,Tornio,65.87711,24.212120000000002
392,Jyväskylä,62.2583,25.7049
393,Kokkola,63.84254,23.164379999999998
394,Heinola,61.20541,26.04319
395,Kuopio,62.88455,27.658890000000003
396,Tampere,61.517340000000004,23.80721
397,Lahti,60.97772,25.676470000000002
398,Helsinki,60.21666999999999,24.96925
399,Hämeenlinna,61.0137,24.431
400,Turku/Naantali,60.4473,22.304000000000002
401,Kotka,60.49244,26.92265
402,Gdańsk,54.362919999999995,18.60349
403,Świecie,53.40600000000001,18.4155
404,Kaliningrad,55.91502,37.78886
405,Elbląg,54.17216,19.41872
406,Gdynia,54.5072,18.49916
407,Łódź,51.76548,19.45964
408,Piotrków Trybunalski,51.41125,19.69005
409,Katowice,50.24147,18.994979999999998
410,Warsaw,52.2189,21.234
411,Zabrze,50.29781,18.82096
412,Kraków,50.0516,19.956529999999997
413,Český Těšín,49.74273,18.58586
414,Budapest,47.49745,19.04567
415,Vámosszabadi,47.75687,17.64948
416,Szeged,46.25781,20.14247
417,Mosonmagyaróvár,47.87829,17.27639
418,Szolnok,47.17538,20.19011
419,Miskolc,48.08846,20.77068
420,Szekszárd,46.34169,18.69269
421,Subotica,46.104459999999996,19.67176
422,Arad,31.26287,35.2327
423,Novi Sad,45.2536,19.82817
424,Sombor,45.77462,19.120739999999998
425,Belgrade,44.7812,20.46718
426,Vršac,45.124159999999996,21.30341
427,Čačak,43.893359999999994,20.35034
428,Drobeta-Turnu Severin,44.64462,22.66349
429,Sofia,42.77026,23.35924
430,Kyustendil,42.28566,22.696379999999998
431,Gevgelija,41.14154,22.50992
432,Evzoni,41.10416,22.55716
433,Alexandroupoli,40.85287,25.90752
434,Serres,44.42463,5.71833
435,Agios Nikolaos,38.02939,21.36992
436,Sitia,35.20628,26.09731
437,Klaipėda,55.71865,21.15495
438,Kaunas,54.896919999999994,23.91716
439,Palanga,46.488009999999996,26.109560000000002
440,Vilnius,54.703959999999995,25.29441
441,Riga,56.95656999999999,24.12351
442,Ukmergė,55.245819999999995,24.76778
443,Lida,53.88151,25.2946
444,Minsk,53.90006999999999,27.569509999999998
445,Marijampolė,54.554109999999994,23.3555
446,Slonim,53.09526999999999,25.3436
447,Kobryn,52.20859,24.35429
448,Dubno,50.38892,25.75692
449,Ternopil,49.5505,25.5953
450,Chernivtsi,48.54779,28.110609999999998
451,Stryj,51.76854,21.945339999999998
452,Khmelnytskyi,49.41989,26.99095
453,Siret,47.95039000000001,26.063879999999997
454,Suceava,47.61906,26.08144
455,Roman,0.0,0.0
456,Halmeu,47.96229,22.9977
457,Iaşi,47.15418,27.57955
458,Urziceni,44.7194,26.6385
459,Bucharest,44.438320000000004,26.094910000000002
460,Slobozia,46.71066,29.686759999999996
461,Giurgiu,43.902570000000004,25.9603
462,Ploieşti,44.940870000000004,26.021060000000002
