id,label,department,orcid,disciplines,publications,citations,impact_factor,supervisorships
468570,Aleksander P. Maryński,W11,0000-0002-0970-7825,[],21,37,40.693,0
418320,Paweł J. Podemski,W11,0000-0001-5256-3305,['nauki fizyczne'],40,146,90.468,0
410640,Krzysztof Szabat,W05,0000-0001-8473-9475,"['automatyka', 'elektronika i elektrotechnika']",234,816,61.202,6
903406,Martyna Kuklińska,Nieznane,Nieznane,[],1,0,0,0
359435,Maciej Madziarz,W06,0000-0003-3220-8968,"['inżynieria środowiska', 'górnictwo i energetyka']",112,19,2.461,0
903407,Kamil Bajek,W06,Nieznane,[],1,0,0,0
801715,Magdalena Klekotko,W03,Nieznane,[],7,0,16.869,0
460020,Joanna Olesiak-Bańska,W03,0000-0002-7226-0077,['nauki chemiczne'],60,239,198.593,0
291136,Krzysztof Hołodnik,W06,0000-0003-3078-681X,"['inżynieria środowiska', 'górnictwo i energetyka']",52,0,0,0
903369,Przemysław Belka,W05,Nieznane,[],3,0,0,0
021373,Piotr Konderla,PRD,0000-0001-7498-8435,['inżynieria lądowa i transport'],248,9,1.346,3
108584,Ryszard Kutyłowski,W02,0000-0001-8497-4184,['inżynieria lądowa i transport'],113,24,11.039,2
303293,Tomasz Kasprzak,W02,Nieznane,[],53,0,0,0
333770,Grzegorz Waśniewski,W02,0000-0002-5548-5266,['inżynieria lądowa i transport'],83,0,0,0
430200,Irena Bagińska,W02,0000-0002-8481-5893,['inżynieria lądowa i transport'],45,3,2.846,0
287832,Andrzej Figiel,PRD,0000-0001-9699-0149,[],231,7,0.771,0
297178,Zbigniew Zimniak,W10,0000-0001-7304-1178,['inżynieria mechaniczna'],162,104,3.914,2
424670,Andrzej Chrzczonowski,W09,Nieznane,[],31,3,0,0
284479,Włodzimierz Tylus,W03,0000-0001-6780-5100,['inżynieria chemiczna'],159,1248,202.571,0
404350,Rafał Latajka,W03,0000-0003-2943-2838,['nauki chemiczne'],55,314,103.581,3
483070,Agnieszka K. Jóźwik,W11,0000-0002-0449-789X,"['nauki fizyczne', 'inżynieria biomedyczna']",22,19,10.492,0
495540,Tomasz Melcer,W11,0000-0001-5941-7968,['inżynieria biomedyczna'],6,4,9.607,0
903759,Michał Obłąk,Nieznane,Nieznane,[],1,0,0.610,0
801945,Anna Chlebowska-Styś,W07,Nieznane,[],22,0,5.136,0
801118,Łukasz Pachurka,W07,Nieznane,[],31,0,3.641,0
600074,Wojciech Kijaszek,W12,0000-0002-2429-2701,"['automatyka', 'elektronika i elektrotechnika']",28,5,5.044,0
126524,Waldemar Oleszkiewicz,W12,0000-0003-3479-4956,"['automatyka', 'elektronika i elektrotechnika']",95,25,7.313,0
133979,Anna Zwoździak,W07,0000-0001-7939-8063,"['inżynieria środowiska', 'górnictwo i energetyka']",202,201,24.186,0
449350,Maciej Antal,W05,0000-0003-4327-6069,"['automatyka', 'elektronika i elektrotechnika']",67,4,0,0
449340,Dariusz D. Gierak,W05,Nieznane,[],31,3,0.460,0
457000,Marcin Wolkiewicz,W05,0000-0003-1197-8517,"['automatyka', 'elektronika i elektrotechnika']",57,68,18.050,0
025579,Czesław Kowalski,W05,0000-0003-2721-1644,"['automatyka', 'elektronika i elektrotechnika']",241,196,19.952,5
482561,Wojciech Majstrzyk,W12,Nieznane,[],22,2,30.952,0
440770,Daniel A. Kopiec,W12,Nieznane,[],45,33,34.184,0
347704,Mariusz Mazurkiewicz,W08,0000-0002-0109-0138,['nauki o zarządzaniu i jakości'],44,9,0.843,0
080020,Stefan Brachmański,W04,0000-0002-9075-4337,"['automatyka', 'elektronika i elektrotechnika', 'informatyka techniczna i telekomunikacja']",199,38,0,0
356216,Bogumiła Hnatkowska,W08,0000-0003-1706-0205,['informatyka techniczna i telekomunikacja'],138,47,1.910,0
015794,Zbigniew Huzar,W08,0000-0002-4362-3502,['informatyka techniczna i telekomunikacja'],272,55,0.886,11
093989,Lech Tuzinkiewicz,W08,0000-0002-6378-766X,['informatyka techniczna i telekomunikacja'],124,25,0.242,0
063425,Iwona Dubielewicz,W08,Nieznane,[],137,13,0.242,0
903442,Karolina Kanas,Nieznane,Nieznane,[],1,0,0,0
903443,Szymon Tabor,W10,Nieznane,[],1,0,0,0
437430,Adam G. Ratajczak,W04,0000-0001-9376-0129,"['automatyka', 'elektronika i elektrotechnika']",41,24,13.103,0
275363,Jerzy Witkowski,W04,0000-0002-0883-4400,"['automatyka', 'elektronika i elektrotechnika']",196,43,13.474,0
424780,Andrzej Grobelny,W04,0000-0001-8826-8586,"['automatyka', 'elektronika i elektrotechnika']",57,33,2.476,0
430750,Anna Szymczycha-Madeja,W03,0000-0003-2670-5394,['nauki chemiczne'],78,518,166.031,0
436490,Maja Wełna,W03,0000-0001-7437-3844,['nauki chemiczne'],72,417,180.257,0
145749,Andrzej Dolny,W10,0000-0003-2506-3422,['inżynieria mechaniczna'],171,21,5.342,0
345917,Piotr Pruchnicki,W04,0000-0001-5166-0840,"['automatyka', 'elektronika i elektrotechnika']",153,83,8.807,0
064592,Bronisław Żółtogórski,W04,Nieznane,[],162,17,0.777,0
600131,Agnieszka Kamola,W07,Nieznane,[],22,0,0,0
080194,Zbigniew Buchalski,W04,0000-0002-3032-1329,['informatyka techniczna i telekomunikacja'],274,1,2.554,0
425810,Jarosław Poliński,W09,0000-0003-2861-3725,"['inżynieria środowiska', 'górnictwo i energetyka']",68,52,28.716,0
801588,Piotr Bogdan,W09,Nieznane,[],6,0,2.004,0
355787,Tomasz Kubik,W04,0000-0003-2830-1289,['informatyka techniczna i telekomunikacja'],83,131,0.688,0
478220,Jarosław Wajs,W06,0000-0002-5450-0313,"['inżynieria środowiska', 'górnictwo i energetyka']",42,4,1.821,0
600115,Andrzej Gnatowski,W04,0000-0001-5468-8005,"['automatyka', 'elektronika i elektrotechnika']",22,3,4.740,0
466090,Weronika M. Huss,W10,0000-0001-5425-8283,['inżynieria mechaniczna'],37,11,0.855,0
600411,Krzysztof Piechurski,W07,0000-0003-3404-7053,"['inżynieria środowiska', 'górnictwo i energetyka']",20,0,0,0
430370,Małgorzata Szulgowska-Zgrzywa,W07,0000-0001-6722-4736,"['inżynieria środowiska', 'górnictwo i energetyka']",70,64,22.481,0
427850,Marta Laska,W07,0000-0003-2103-3795,"['inżynieria środowiska', 'górnictwo i energetyka']",34,1,10.851,0
293400,Alicja Balcerak,W08,0000-0002-4507-0497,['nauki o zarządzaniu i jakości'],93,3,0,0
801661,Dominika Jędryczko,W03,Nieznane,[],13,0,28.764,0
109806,Stanisław Szkółka,W05,Nieznane,[],205,6,0.832,0
334908,Jan Ziaja,W05,0000-0002-7340-6509,"['automatyka', 'elektronika i elektrotechnika']",141,95,6.922,0
436380,Łukasz Radosiński,W03,0000-0003-4223-510X,['inżynieria chemiczna'],35,52,43.990,0
476900,Bartłomiej J. Dzieńkowski,W08,Nieznane,[],8,0,0,0
305255,Urszula Markowska-Kaczmar,W08,0000-0001-7606-3057,['informatyka techniczna i telekomunikacja'],135,104,19.751,2
435320,Daniel Bejmert,W05,0000-0001-6525-0199,"['automatyka', 'elektronika i elektrotechnika']",41,95,22.789,0
483250,Kazimierz Bęcek,W06,0000-0003-1532-9725,"['inżynieria środowiska', 'górnictwo i energetyka']",36,29,38.190,0
801934,Rafał Połoczański,W13,Nieznane,[],8,0,10.084,0
147626,Jerzy Sas,W08,Nieznane,[],104,28,5.435,0
801723,Madalena Bajgrowicz-Cieślak,W10,Nieznane,[],17,0,8.429,0
491320,Hubert Skowronek,W10,0000-0003-3398-1661,['inżynieria mechaniczna'],30,1,0,0
295677,Janusz Sobecki,W08,0000-0001-7444-2627,['informatyka techniczna i telekomunikacja'],135,113,4.363,1
003407,Antoni Biegus,W02,Nieznane,[],350,90,17.743,3
801940,Michał Ćwik,W08,Nieznane,[],5,0,1.260,0
424140,Łukasz Gelczuk,W12,0000-0002-4228-2603,"['automatyka', 'elektronika i elektrotechnika']",56,73,27.947,0
903429,Hubert Stokowski,Nieznane,Nieznane,[],2,0,4.656,0
009557,Maria Dąbrowska-Szata,W12,0000-0002-1531-0381,"['automatyka', 'elektronika i elektrotechnika']",119,74,19.859,2
349449,Robert Wójcik,W04,0000-0003-3860-7011,['informatyka techniczna i telekomunikacja'],102,57,2.797,0
903457,Filip Woźniak,Nieznane,Nieznane,[],1,0,0,0
145459,Dymitry Capanidis,W10,0000-0002-0659-6795,['inżynieria mechaniczna'],162,36,0,0
311942,Roman Czajka,W01,0000-0003-0318-3140,['architektura i urbanistyka'],99,0,0,0
600142,Anna M. Kisiela-Czajka,W09,0000-0003-3586-7416,"['inżynieria środowiska', 'górnictwo i energetyka']",33,23,13.616,0
402550,Anna Leśniewicz,W03,0000-0003-1231-3349,['nauki chemiczne'],65,222,85.571,0
120098,Eugeniusz Hotała,W02,0000-0003-2286-8436,['inżynieria lądowa i transport'],231,22,2.521,5
044136,Kazimierz Rykaluk,W02,Nieznane,[],195,23,6.948,5
600469,Arkadiusz Sławomir. Jędrzejewski,W08,0000-0002-7965-2014,['nauki o zarządzaniu i jakości'],15,37,31.992,0
047823,Mirosław Soroka,W03,Nieznane,[],230,453,20.529,2
802530,Anna Brol,W03,0000-0003-3403-3997,[],19,0,5.869,0
903337,Klaudia Slopek,W03,Nieznane,[],4,0,0,0
341106,Radosław Katarzyniak,W08,0000-0002-8941-9638,['informatyka techniczna i telekomunikacja'],167,66,1.771,4
118994,Maciej Minch,W02,Nieznane,[],197,2,10.829,0
351835,Robert Hossa,W04,0000-0002-3672-7936,"['automatyka', 'elektronika i elektrotechnika']",89,154,7.288,0
054609,Ryszard Makowski,W04,0000-0002-4397-7183,"['automatyka', 'elektronika i elektrotechnika']",138,48,9.135,3
144821,Andrzej Ubysz,W02,0000-0003-3063-0946,['inżynieria lądowa i transport'],183,8,5.143,6
145835,Marek Maj,W02,0000-0002-4151-7298,['inżynieria lądowa i transport'],151,8,2.972,0
345962,Anna Kisiel,W05,0000-0003-4101-2414,[],108,47,5.516,0
903472,Michał Konieczny,Nieznane,Nieznane,[],1,0,0,0
800015,Małgorzata Żabska,W03,Nieznane,[],21,0,1.227,0
356807,Tomasz Głowacki,W01,0000-0001-9939-2582,['architektura i urbanistyka'],78,0,0,0
146560,Wojciech Rędowicz,W02,0000-0002-9540-6235,[],149,3,0,0
142397,Stanisław Kostecki,W02,0000-0001-5002-6119,['inżynieria lądowa i transport'],201,31,8.926,1
600086,Michał Baca,W02,0000-0003-1231-2522,['inżynieria lądowa i transport'],31,9,0,0
144791,Zdzisław Hejducki,W02,0000-0003-2958-0128,['inżynieria lądowa i transport'],193,82,7.596,2
342390,Przemysław Nowakowski,W01,0000-0002-5473-6203,['architektura i urbanistyka'],110,4,0,0
053446,Andrzej Skowroński,W01,Nieznane,[],77,0,0,0
801551,Maciej Skowroński,Nieznane,Nieznane,[],22,0,0,0
006600,Jerzy Charytonowicz,W01,Nieznane,[],378,10,0,6
144832,Szczepan Roszak,W03,0000-0002-3569-2321,['nauki chemiczne'],269,1791,351.268,7
496630,Michał W. Dudek,W06,0000-0002-1145-2614,"['inżynieria środowiska', 'górnictwo i energetyka']",19,1,10.036,0
600186,Mirela J. Wolf-Baca,W07,Nieznane,[],33,0,7.745,0
801643,Katarzyna Korsak,W01,Nieznane,[],7,0,0,0
463270,Sławomir Rowiński,W02,0000-0001-5512-7381,['inżynieria lądowa i transport'],31,57,7.429,0
801268,Wacław Szarejko,W01,Nieznane,[],6,0,0,0
801894,Angelika Kosieradzka,W01,Nieznane,[],13,0,0,0
600083,Michał Balcerek,W13,0000-0003-3637-5501,['matematyka'],8,11,16.338,0
448090,Marek A. Teuerle,W13,0000-0002-1640-8823,['matematyka'],24,52,31.352,0
446190,Janusz R. Gajda,W13,Nieznane,[],33,111,43.817,0
801991,Aleksander Błachut,W10,0000-0002-6470-7107,[],9,0,0,0
600185,Wojciech M. Wojtowicz,W03,0000-0001-6906-3120,['nauki chemiczne'],13,27,17.683,0
444960,Krzysztof Halawa,W04,0000-0001-6508-0468,['informatyka techniczna i telekomunikacja'],36,16,1.944,0
448030,Marek Bazan,W04,0000-0002-2455-6463,['informatyka techniczna i telekomunikacja'],26,15,2.745,0
402520,Piotr Ciskowski,W04,0000-0002-4488-064X,[],36,13,3.372,0
430910,Andrzej Rusiecki,W04,0000-0003-2239-1076,['informatyka techniczna i telekomunikacja'],41,68,9.270,0
333037,Ignacy Dulęba,W04,0000-0002-2278-0816,"['automatyka', 'elektronika i elektrotechnika']",169,212,21.786,7
343090,Iwona Karcz-Dulęba,W04,0000-0003-4946-2225,"['automatyka', 'elektronika i elektrotechnika']",75,21,16.714,1
801101,Beata Śniechowska,W07,Nieznane,[],26,0,9.364,0
452120,Natalia Fidorów,W07,Nieznane,[],39,41,19.585,0
801880,Jolanta Milko,W07,Nieznane,[],4,0,9.488,0
424200,Jacek Ziemba,W10,0000-0002-3505-7555,['inżynieria mechaniczna'],104,16,43.586,0
600184,Paweł Widomski,W10,0000-0001-5839-6851,['inżynieria mechaniczna'],47,7,35.855,0
109037,Bogusław Karolewski,W05,0000-0001-5332-4226,[],149,12,1.423,1
802024,Weronika Lechowska,W01,Nieznane,[],13,0,0,0
358252,Artur Kwaśniewski,W01,0000-0002-5094-2050,['architektura i urbanistyka'],155,2,0,0
