id,name,citations,citation_count,Wydzial,Katedra
15725510000,Jaśkiewicz Anna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=15725510000&origin=inward,667,W13,Katedra Matematyki Stosowanej
12241080700,Tarnowski Karol,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=12241080700&origin=inward,2536,W11,Katedra Optyki i Fotoniki
7801432630,MacIejewska Gabriela,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7801432630&origin=inward,1274,Unknown,Unknown
6603253976,Morayne Michał L.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603253976&origin=inward,337,W11,Katedra Podstaw Informatyki
6603076621,Latajka Rafał,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603076621&origin=inward,2853,W03,Katedra Chemii Bioorganicznej
6602245311,Videnova-Adrabińska Veneta,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602245311&origin=inward,3267,Unknown,Unknown
56278148600,Jermakowicz-Bartkowiak Dorota,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56278148600&origin=inward,1780,W03,Katedra Inżynierii Procesowej i Technologii Materiałów Polimerowych i Węglowych
7102431098,Wiśniewski Jacek A.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7102431098&origin=inward,1692,W07,Katedra Inżynierii Ochrony Środowiska
7004162358,Wiszniewski Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7004162358&origin=inward,1873,Unknown,Unknown
7003861604,Grzechowiak Jolanta R.,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003861604&origin=inward,1365,Unknown,Unknown
6602363992,Skubalska-Rafajłowicz Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6602363992&origin=inward,567,W04,Katedra Informatyki Technicznej
56210422300,Mazur Alicja,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=56210422300&origin=inward,406,W04,Katedra Cybernetyki i Robotyki
55950204500,Kozioł Antoni,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=55950204500&origin=inward,950,Unknown,Unknown
23393318200,Kozierkiewicz Adrianna,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=23393318200&origin=inward,356,W08,Katedra Informatyki Stosowanej
7003822201,Piasecki Andrzej,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=7003822201&origin=inward,1202,Unknown,Unknown
6603460479,Żymańczyk-Duda Ewa,https://www.scopus.com/author/citedby.uri?partnerID=HzOxMe3b&citedAuthorId=6603460479&origin=inward,1201,W03,"Katedra Biochemii, Biologii Molekularnej i Biotechnologii"
