Authors,Link
"Xing C., Guan J., Li Y., Li J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896912094&doi=10.1021%2fam500061v&partnerID=40&md5=3fd5f7de362129e7efe24bd9a13a7068"
"Xing C., Zheng X., Xu L., Jia J., Ren J., Li Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896517253&doi=10.1021%2fie404096b&partnerID=40&md5=ad75ae107859e0b4fb14f4f08af37f45"
"Roessler A., Schottenberger H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894901562&doi=10.1016%2fj.porgcoat.2013.11.022&partnerID=40&md5=d4cc82eb26d208845204b5426c46557f"
"Saini P., Arora M., Arya S.K., Tawale J.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897757653&partnerID=40&md5=b9f175eaa5ccf74f091335331452ba63"
"Jacquemin J., Feder-Kubis J., Zorȩbski M., Grzybowska K., Chora̧zewski M., Hensel-Bielówka S., Zorȩbski E., Paluch M., Dzida M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893507923&doi=10.1039%2fc3cp54533d&partnerID=40&md5=5ff6e6193a5d204bb519098c3e7d66f8"
"Valderrama J.O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892707474&doi=10.1021%2fie403293z&partnerID=40&md5=efa76da65a5e6a86409bab2ce3ba7521"
"Li S.J., Bai S.Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896896798&doi=10.4028%2fwww.scientific.net%2fAMM.528.181&partnerID=40&md5=0d4e96d36da77b10bede854798b5c443"
"Yaman K., Çoǧun C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903304040&doi=10.1007%2fs00170-014-5839-y&partnerID=40&md5=0a3b9ae9655fd01feb8105b17fabc6b0"
"Laskowska A., Marzec A., Boiteux G., Zaborski M., Gain O., Serghei A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904677922&doi=10.1002%2fmasy.201300150&partnerID=40&md5=78a8509e3e41dfb1d174a3f8c8393c5d"
"Faisal M., Khasim S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901339669&doi=10.1134%2fS0965545X14030055&partnerID=40&md5=a69787f7e0ce4af132e39eb67eb0b0f2"
"El Hasnaoui M., Triki A., Achour M.E., Arous M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887056017&doi=10.1016%2fj.physb.2013.10.009&partnerID=40&md5=dadb6ab11770a81354a08f946bf10db4"
"Marzec A., Laskowska A., Boiteux G., Zaborski M., Gain O., Serghei A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906716159&doi=10.1002%2fmasy.201300231&partnerID=40&md5=383f8de5c1493dbb2c2eb8e010553873"
"Zhang J., Fang S., Qu L., Jin Y., Yang L., Hirano S.-I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908569714&doi=10.1021%2fie502716p&partnerID=40&md5=6f597d1eabab25b4c46d0ce4dc457467"
"Hijosa-Valsero M., Molina R., Montràs A., Müller M., Bayona J.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930614320&doi=10.1080%2f21622515.2014.990935&partnerID=40&md5=db0917ce34fda25d6d22b0a00627cc5e"
"Zhang M., Liang X., Jiang S., Qiu H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888272098&doi=10.1016%2fj.trac.2013.09.011&partnerID=40&md5=0c016208c583ffdc05a0669c08e11c9d"
"Pang H., Xu L., Yan D.-X., Li Z.-M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908368327&doi=10.1016%2fj.progpolymsci.2014.07.007&partnerID=40&md5=72d511a15d107b062a0d573e84bcd368"
"Bao L., Lei J., Wang J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885783044&doi=10.1016%2fj.elstat.2013.09.001&partnerID=40&md5=2fa4b7dc0228eea8238fda63707437ba"
"Takaki K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892077547&partnerID=40&md5=676b203d4e42d0d146f04b8d51efc841"
"Hijosa-Valsero M., Molina R., Schikora H., Müller M., Bayona J.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885340384&doi=10.1016%2fj.jhazmat.2013.09.022&partnerID=40&md5=2c3922c59eb2d4c1825a5a34a8a25d03"
"Arora M., Saini P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887854464&partnerID=40&md5=d5f5f2b09a8a37428398315940a04ed3"
"Laskowska A., Marzec A., Boiteux G., Zaborski M., Gain O., Serghei A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885399481&doi=10.1002%2fpi.4550&partnerID=40&md5=72c694ac6be6cd39834a4f2b682ce9d5"
"Tavanaie M.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886257029&doi=10.1002%2fceat.201300146&partnerID=40&md5=a49a55b0ae67e5f4f18e2d75deacf5c0"
"Guo L.Y., Bai S.Y., Liu J.L., Ma Q.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886284587&doi=10.4028%2fwww.scientific.net%2fAMR.798-799.211&partnerID=40&md5=2cf803201a0448f619489ebe119fb611"
"Markiewicz B., Łȩgosz B., Kordala-Markiewicz R., Walkiewicz F., Gwiazdowski R., Kubiak K., Praczyk T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885408287&partnerID=40&md5=3ac6c39b24dce118f530523768e2265c"
"Niemczak M., Walkiewicz F., Giszter R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885416803&partnerID=40&md5=513922395ae9d2e9d5720925cb190f0a"
"Macaev F.Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883429000&doi=10.1007%2f978-94-007-6461-3_25&partnerID=40&md5=28b7f14571ebe2efd375fa0b24d45286"
"Pawlak K., Skrzypczak A., Bialek-Bylka G.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878324619&doi=10.1016%2fj.dyepig.2013.04.033&partnerID=40&md5=dc79d385b22d73a983a5f7c06013dead"
"Tarasova N.P., Smetannikov Y.V., Zanin A.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877782362&doi=10.1134%2fS0012500813040010&partnerID=40&md5=40c8eea38bc09858aa5b7c1486f33737"
"Wei Y.-F., Li Z.-Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876138061&doi=10.1063%2f1.4800568&partnerID=40&md5=35f1643ebbef8d0fb5a55560a79872db"
"Hijosa-Valsero M., Molina R., Schikora H., Müller M., Bayona J.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873522474&doi=10.1016%2fj.watres.2013.01.001&partnerID=40&md5=27858d1d259403f66a5e972aa9204dda"
